종류,학원지정번호,학원명,도로명주소,도로명 상세 주소,분야명,교습계열명,교습과정목록명,,정원합계,일시수용능력합계,,인당수강료,,,,,,,,
학원,1000035706,한국회계학원,서울특별시 서초구 서초중앙로 118,", 12층,13층 (서초동,카이스시스템빌딩)",인문사회(대),인문사회(중),,회계,640,336,,N,N,137881,개원,19950610,,99991231,19950610,20231018
학원,1000035716,서울애완동물관리학원,서울특별시 서초구 남부순환로 2626,", 4층 (양재동,동신빌딩)",직업기술,일반서비스,"애견미용,",애견미용,125,69,,Y,N,137886,개원,19950802,,99991231,19950802,20231018
학원,1000035728,행원독서실,서울특별시 서초구 효령로2길 61,(방배동),독서실,독서,"독서실(유아/초?중?고),",독서실(유아/초?중?고),153,153,,N,N,137821,개원,19950907,,99991231,19950907,20231018
학원,1000035736,양재왕수학보습학원,서울특별시 서초구 바우뫼로7길 8,세신상가 5층 (우면동),입시.검정 및 보습,보통교과,,보습,50,260,,N,N,137900,개원,19951107,,99991231,19951107,20231018
학원,1000035738,연세아카데미학원,서울특별시 서초구 바우뫼로7길 16,대화프라자 3층(우면동),입시.검정 및 보습,보통교과,,보습,48,90,,N,N,137900,개원,19951011,,99991231,19951011,20231018
학원,1000035747,리드유(Leadu)영어학원,서울특별시 서초구 서초중앙로33길 7,", 6층 (반포동)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,280,180,,Y,N,137802,개원,19951104,,99991231,19951104,20231029
학원,1000035791,피에스에이서초어학학원,서울특별시 서초구 효령로 388,", 1층~5층 (서초동)",국제화,외국어,"실용외국어(유아/초?중?고),",실용외국어(유아/초?중?고),112,324,,Y,N,137861,개원,19960201,,99991231,19960201,20231018
학원,1000035815,서초제일보습학원,서울특별시 서초구 남부순환로333길 56,", 2층 (서초동)",입시.검정 및 보습,보통교과,,보습,18,144,,N,N,137865,개원,19960507,,99991231,19960507,20231113
학원,1000035829,헨리영어아이(i)학원,서울특별시 서초구 반포대로 300,3층1호 일부 우측 (잠원동),국제화,외국어,"실용외국어(유아/초?중?고),",실용외국어(유아/초?중?고),515,103,,Y,N,6509,개원,19960816,,99991231,19960816,20231113
학원,1000035855,개념폴리아방배관학원,서울특별시 서초구 서초대로 39,", 2층, 3층 (방배동)",입시.검정 및 보습,보통교과,보습,보습,92,72,,Y,N,6570,개원,19961218,,99991231,19961218,20240128
학원,1000035862,이소키즈클럽어학원,서울특별시 서초구 동광로 95-2,", 1층~4층 전체 (방배동)",종합(대),,실용외국어(유아/초?중?고),,196,249,,Y,N,6584,개원,19970204,,99991231,19970204,20240225
학원,1000035889,경인학원,서울특별시 서초구 바우뫼로 91,경인프라자빌딩 402 403호일부 (양재동),입시.검정 및 보습,보통교과,"보습,",보습,21,300,,Y,N,137892,개원,19970701,,99991231,19970701,20231018
학원,1000035900,서초뉴이화음악학원,서울특별시 서초구 바우뫼로7길 8,우면종합상가 505호 (우면동),예능(대),예능(중),"음악,",음악,51,13,,N,N,137900,개원,19970731,,99991231,19970731,20231018
학원,1000035908,미대편입강남창조학원,서울특별시 강남구 강남대로94길 20,", 3,4층 전체 (역삼동)",기예(대),기예(중),미술,미술,20,180,,Y,N,6134,개원,19971001,,99991231,19971001,20240225
학원,1000036020,103미술학원,서울특별시 서초구 서초중앙로 230,동화반포프라자 308호 309호(반포동),예능(대),예능(중),미술,미술,7,45,,Y,N,137040,개원,19981026,,99991231,19981026,20231018
학원,1000036065,셈프레뮤직아트센터서초학원,서울특별시 서초구 남부순환로339길 33,", 2층,3층 (서초동, 송하빌딩)",종합(대),,"음악,미술,",,218,57,,N,N,137865,개원,19990227,,99991231,19990227,20231018
학원,1000036089,강남용문보습학원,서울특별시 서초구 효령로68길 14,", 3층 (서초동,동림빌딩)",입시.검정 및 보습,보통교과,,보습,6,400,,N,N,137865,개원,19990414,,99991231,19990414,20231018
학원,1000036110,피엠지보습학원,서울특별시 서초구 서초중앙로 230,403호 404호 405호 (반포동),입시.검정 및 보습,보통교과,"보습,보습?논술,",보습,272,148,,Y,N,137040,개원,19990601,,99991231,19990601,20231018
학원,1000036130,반포한신보습학원,서울특별시 서초구 신반포로15길 29,", 3층 101호 (반포동,신반포상가)",입시.검정 및 보습,보통교과,"보습,",보습,300,395,,Y,N,137800,개원,19990707,,99991231,19990707,20231018
학원,1000036243,에스오티어학원,서울특별시 서초구 서초중앙로31길 14-4,", 1층,2층 (반포동)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),98,192,,Y,N,137802,개원,20000113,,99991231,20000113,20240324
학원,1000036262,에스엠에스(SMS)서울실용음악학원,서울특별시 서초구 사평대로 365,", 3층 (반포동)",예능(대),예능(중),"음악,",음악,30,69,,Y,N,6541,개원,20000302,,99991231,20000302,20231018
학원,1000036291,영재과학보습학원,서울특별시 서초구 주흥길 3,", 401호 (반포동)",입시.검정 및 보습,보통교과,"보습,",보습,16,52,,Y,N,137810,개원,20000422,,99991231,20000422,20231018
학원,1000036314,파고다원강남학원,서울특별시 서초구 강남대로 419,", 19층 (서초동, 파고다타워)",국제화,국제,어학(성인),어학(성인),35,213,,Y,N,6614,개원,20000602,,99991231,20000602,20240128
학원,1000036328,멘토(Mentor)독서실,서울특별시 서초구 동광로19길 19,3층 (방배동),독서실,독서,"독서실(유아/초?중?고),",독서실(유아/초?중?고),30,93,,Y,N,137830,개원,20000626,,99991231,20000626,20231018
학원,1000036374,윤영숙수학전문학원,서울특별시 서초구 동작대로 188,", 2층전체 (방배동, 액센빌딩)",입시.검정 및 보습,,"보습,보습?논술,",,370,93,,Y,N,6559,개원,20001128,,99991231,20001128,20231018
학원,1000036459,현재어학원,서울특별시 서초구 서초중앙로33길 14,", 아싸빌딩2,3층 (반포동)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),100,270,,Y,N,6593,개원,20010428,,99991231,20010428,20231217
학원,1000036561,메디치보습학원,서울특별시 서초구 잠원로 148,", 303~305호 (잠원동,잠원한신아파트)",입시.검정 및 보습,보통교과,보습,보습,175,78,,N,N,137907,개원,20010921,,99991231,20010921,20240128
학원,1000036584,퍼스널학원,서울특별시 서초구 서초중앙로 230,동화반포프라자 502호 일부(반포동),입시.검정 및 보습,보통교과,"보습,",보습,59,75,,N,N,137040,개원,20011031,,99991231,20011031,20231018
학원,1000036596,리드전문경영학원,서울특별시 강남구 선릉로86길 28,", 5층 (대치동)",인문사회(대),인문사회(중),"경영,",경영,270,83,,Y,N,6197,개원,20011110,,99991231,20011110,20231018
학원,1000036660,오예스영어학원,서울특별시 서초구 효령로34길 66,", 2층 (방배동)",입시.검정 및 보습,보통교과,,보습,10,74,,N,N,137851,개원,20020125,,99991231,20020125,20231018
학원,1000036694,새롬공인중개사학원,서울특별시 서초구 서초대로78길 38,", 4층 (서초동, 호정빌딩)",직업기술,경영?사무관리,,부동산,1200,123,,Y,N,137858,개원,20020320,,99991231,20020320,20231018
학원,1000036700,진선생어학원,서울특별시 서초구 고무래로10길 10,", 4층(반포동)",국제화,외국어,"실용외국어(유아/초?중?고),",실용외국어(유아/초?중?고),490,265,,Y,N,6593,개원,20020329,,99991231,20020329,20231206
학원,1000036772,서초무용학원,서울특별시 서초구 사임당로 151,", 309호 (서초동, 대한무지개종합상가)",예능(대),예능(중),,무용,32,60,,N,N,6624,개원,19620213,,99991231,19620213,20231018
학원,1000036800,참좋은음악학원,서울특별시 서초구 서운로 207,삼호종합상가 301호(서초동),예능(대),예능(중),"음악,",음악,60,81,,Y,N,137786,개원,19790823,,99991231,19790823,20231018
학원,1000036803,으뜸창조미술학원,서울특별시 서초구 신반포로 165,", 5층일부 (잠원동, 반포쇼핑타운)",예능(대),예능(중),"미술,",미술,80,80,,N,N,137909,개원,19791122,,99991231,19791122,20231224
학원,1000036808,하선정요리학원,서울특별시 서초구 신반포로 162,(반포동),직업기술,산업응용기술,,"식음료품(바리스타,소믈리에)",60,120,,N,N,137713,개원,19790417,,99991231,19790417,20231018
학원,10043,잠원씨앤에이논술보습학원,서울특별시 서초구 신반포로 219,", 3층14호~17호 (잠원동,반포쇼핑타운)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,108,68,,Y,N,137908,개원,20050603,,99991231,20050607,20240324
학원,10070,코트라아카데미경영학원,서울특별시 서초구 헌릉로 13,2층 (염곡동),인문사회(대),인문사회(중),,경영,100,340,,Y,N,137170,개원,20030306,,99991231,20030306,20231018
학원,10103,장수경어학원,서울특별시 서초구 사임당로 173,서전빌딩 701호 (서초동),국제화,외국어,,실용외국어(유아/초?중?고),123,270,,N,N,137858,개원,20050608,,99991231,20050608,20231018
학원,10131,선재보습학원,서울특별시 서초구 신반포로 189,", 반포쇼핑타운4동 4층 5,6,7호 (잠원동)",입시.검정 및 보습,보통교과,"보습?논술,",보습?논술,72,75,,Y,N,6512,개원,19980507,,99991231,19980507,20231018
학원,10325,브릭앤멘사영재학원,서울특별시 서초구 사평대로 18,", 302호 (방배동)",기타(대),기타(중),"기타(소),",기타(소),146,78,,N,N,6552,개원,20050629,,99991231,20050629,20231018
교습소,1040,모든이피아노교습소,서울특별시 서초구 명달로22길 59,1층 (서초동),예능(대),예능(중),피아노(초급),음악,30,2,"피아노(초급):160000, 피아노(중급):170000, 피아노(고급):180000",N,N,137871,개원,20030106,,99991231,20030106,20231018
학원,10535,중앙법률사무교육학원,서울특별시 서초구 반포대로 87,", 2층,3층 (서초동, 대천빌딩)",인문사회(대),인문사회(중),"행정,",행정,1290,215,,Y,N,137872,개원,20050708,,99991231,20050708,20231018
학원,10829,코몽드피부미용학원,서울특별시 서초구 나루터로 73,", 3층 (잠원동, 라전빌딩)",직업기술,산업응용기술,"이?미용,",이?미용,200,63,,N,N,6525,개원,20030925,,99991231,20030925,20231018
학원,1083,유진벨어학학원,서울특별시 서초구 서초대로60길 25,3-4층 (서초동),국제화,외국어,"실용외국어(유아/초?중?고),",실용외국어(유아/초?중?고),48,750,,N,N,137880,개원,20020628,,99991231,20020628,20231217
학원,10896,파워플러스영어학원,서울특별시 서초구 서초중앙로33길 6-6,", 4층일부 (반포동, 두원빌딩)",입시.검정 및 보습,보통교과,"보습,보습?논술,",보습,56,76,,Y,N,137803,개원,20050811,,99991231,20050811,20231018
학원,11165,반포탐구와은유학원,서울특별시 서초구 고무래로8길 9,", 4층 (반포동)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,30,75,,Y,N,6593,개원,20050916,,99991231,20050916,20231105
학원,11212,포스트공연영상학원,서울특별시 서초구 남부순환로 2640-11,", 202호 (양재동, 단성빌딩)",기타(대),기타(중),"연극,",연극,90,54,,Y,N,6739,개원,20050922,,99991231,20050922,20231018
교습소,11235,하윤미술교습소,서울특별시 서초구 남부순환로 2183,", 201호(좌측) (방배동, 방배래미안타워)",예능(대),예능(중),미술,미술,4,9,미술:150000,N,N,6701,개원,20050926,,99991231,20050926,20231018
학원,11521,아이파경영학원,서울특별시 서초구 서초대로60길 9-42,1층~4층 (서초동),종합(대),,"경영,회계,",,5239,369,,N,N,137880,개원,20051019,,99991231,20051019,20231018
교습소,11546,유로센터독어교습소,서울특별시 서초구 강남대로 617,외2필지 대양빌딩 308호,입시.검정 및 보습,보통교과,독어,보습,7,7,,N,N,137902,개원,20051024,,99991231,20131223,20231018
학원,11808,어셔어학원,서울특별시 서초구 잠원로3길 40,", 202-A호, 206호, 207호, 208호, 209호 (잠원동, 태남홀딩스)",국제화,,"실용외국어(유아/초?중?고),",,3760,267,,Y,N,6510,개원,20051115,,99991231,20051115,20231105
학원,12021,더블유에스에이피디피와인아카데미학원,서울특별시 서초구 신반포로 311,", 1층 전체 (잠원동, 신영빌딩)",직업기술,산업응용기술,"식음료품(바리스타,소믈리에)","식음료품(바리스타,소믈리에)",1338,131,,Y,N,6532,개원,20051201,,99991231,20051201,20240128
교습소,12097,문클라리넷교습소,서울특별시 서초구 신반포로 189,반포쇼핑타운4동 4층 14호(잠원동),예능(대),예능(중),,음악,2,8,,Y,N,137908,개원,20051212,,99991231,20051212,20231018
학원,12649,더오름수학학원,서울특별시 서초구 고무래로10길 17,", 7층일부 (반포동,동호빌딩)",입시.검정 및 보습,보통교과,"보습?논술,",보습?논술,68,47,,Y,N,137803,개원,20060207,,99991231,20060207,20231018
교습소,12691,그림재미미술교습소,서울특별시 서초구 서초대로65길 13-10,", 204호 (서초동,서초 래미안 아파트상가)",예능(대),예능(중),,미술,12,6,,N,N,137775,개원,20060201,,99991231,20060201,20231018
학원,12777,이찬이대학편입학원,서울특별시 서초구 서초중앙로22길 53,", 2층202호, 4층전체 (서초동)",인문사회(대),인문사회(중),"성인고시,",성인고시,360,172,,N,N,6633,개원,20000302,,99991231,20000302,20231018
학원,12812,박문각강남고시학원,서울특별시 서초구 강남대로61길 19,", 2층 (서초동)",인문사회(대),인문사회(중),"성인고시,",성인고시,2450,810,,Y,N,137856,개원,20030325,,99991231,20030325,20231018
학원,12870,한우리서초독서논술학원,서울특별시 서초구 고무래로 6-7,2층 (반포동),입시.검정 및 보습,보통교과,"보습?논술,",보습?논술,12,49,,N,N,137803,개원,20060224,,99991231,20060224,20231018
교습소,12933,오승은과학전문과학교습소,서울특별시 서초구 동광로 15,2층,입시.검정 및 보습,보통교과,중등과학,보습,11,7,,N,N,137852,개원,20060303,,99991231,20060303,20231018
학원,13077,시그마수학학원,서울특별시 서초구 동광로 82-1,", 5층전체 (방배동, 한일빌딩)",입시.검정 및 보습,보통교과,"보습,",보습,36,68,,Y,N,6585,개원,20060310,,99991231,20060310,20231018
학원,13105,최고수학학원,서울특별시 서초구 신반포로 22,", H동 303호 (반포동)",입시.검정 및 보습,보통교과,"보습,",보습,584,73,,Y,N,137811,개원,20060316,,99991231,20060316,20231018
교습소,13278,잼앤클래식음악교습소,서울특별시 서초구 잠원로 204,한신종합상가 301호(잠원동),예능(대),예능(중),피아노초급,음악,12,4,"피아노초급:130000, 피아노중급:140000, 피아노입시:150000",N,N,137906,개원,20060330,,99991231,20060330,20231018
교습소,13280,피아노포르테피아노교습소,서울특별시 서초구 신반포로 143,경남쇼핑센타 2층 27호(반포동),예능(대),예능(중),피아노,음악,5,5,피아노:0,N,N,137765,개원,20060331,,99991231,20060331,20231018
교습소,1332,서초이화바이올린교습소,서울특별시 서초구 고무래로 90-7,", 5층 6호 (서초동,서초쇼핑)",예능(대),예능(중),일반(바이올린),음악,5,4,,N,N,137882,개원,20030111,,99991231,20030111,20231018
교습소,13376,아이비수학교습소,서울특별시 서초구 고무래로 90-7,", 505호 (서초동,서초쇼핑)",입시.검정 및 보습,보통교과,초등1,보습,39,8,"초등1:220000, 초등2:320000, 초등3:280000, 초등4:400000, 초등5:400000, 초등6:570000, 중등1:300000, 중등2:450000, 중등3:420000, 중등4:600000, 중등5:800000, 고등1:450000, 고등2:660000, 고등3:880000",N,N,137882,개원,20060406,,99991231,20060406,20231224
교습소,13414,반포향상피아노교습소,서울특별시 서초구 신반포로15길 29,", 2층 206호 (반포동,신반포상가)",예능(대),예능(중),,음악,8,3,,N,N,137800,개원,20060410,,99991231,20060410,20231018
교습소,13455,이엔아이피아노교습소,서울특별시 서초구 신반포로 165,", 2동 314호 (잠원동,반포쇼핑타운)",예능(대),예능(중),초급,음악,3,4,,N,N,137909,개원,20060418,,99991231,20060418,20231018
학원,13594,팝스터디학원,서울특별시 서초구 신반포로23길 30,", 204호, 207호 전체 (잠원동, 반원상가)",입시.검정 및 보습,보통교과,"보습,",보습,48,66,,Y,N,6510,개원,20060427,,99991231,20060427,20231018
교습소,13597,파머스영어교습소,서울특별시 서초구 방배천로6길 42,", 2층 (방배동,방배하상빌딩)",입시.검정 및 보습,보통교과,초등 기초,보습,81,9,,Y,N,137819,개원,20060427,,99991231,20060427,20231018
교습소,13785,클래식피아노교습소,서울특별시 서초구 서운로 207,삼호종합상가 2층 221호(서초동),예능(대),예능(중),피아노(초급),음악,20,4,,Y,N,137786,개원,20060523,20210503,20210516,20100911,20231018
학원,13844,소르본보습학원,서울특별시 서초구 서초중앙로29길 23,4층 (반포동),입시.검정 및 보습,보통교과,"보습,",보습,86,43,,N,N,137802,개원,20060526,,99991231,20060526,20231018
학원,13846,와이즈만영재교육방배본원학원,서울특별시 서초구 남부순환로 2219,", 3층 일부 A호 (방배동, 방배동나노빌딩)",입시.검정 및 보습,보통교과,,보통교과,40,82,,Y,N,6702,개원,20060530,,99991231,20060530,20231018
학원,13849,거성영어학원,서울특별시 서초구 사임당로 138,신동아상가 401호(서초동),입시.검정 및 보습,보통교과,"보습,",보습,30,71,,Y,N,137859,개원,20060530,,99991231,20060530,20231018
학원,13850,째즈탑아카데미실용음악학원,서울특별시 서초구 사임당로 158,서초우성쇼핑센터 406호 411호(서초동),기예(대),기예(중),"실용음악(성악),",실용음악(성악),8,27,,N,N,137859,개원,20060526,,99991231,20060526,20231018
학원,13871,반포세정3관학원,서울특별시 서초구 신반포로 165,", 3층 38호 일부, 39~42호, 43호 일부, 4층 10~12호, 13호 일부 (잠원동, 반포쇼핑타운)",입시.검정 및 보습,보통교과,보습,보습,2100,146,,N,N,6512,개원,20060607,,99991231,20060607,20240128
학원,13895,아벨수학영어전문학원,서울특별시 서초구 효령로 36,", 2층 (방배동, 세중빌딩)",입시.검정 및 보습,보통교과,보습,보습,108,92,,Y,N,6698,개원,20060608,,99991231,20060608,20231105
교습소,13973,잠원바이올린교습소,서울특별시 서초구 신반포로 205,", 5층 503호 (잠원동, 반포쇼핑타운)",예능(대),예능(중),바이올린중급,음악,8,3,"바이올린중급:200000, 바이올린입시:250000",Y,N,6512,개원,20060524,,99991231,20060524,20231018
학원,13976,헨리영어전문학원,서울특별시 서초구 반포대로 300,3층 1호의 일부 좌측(잠원동),국제화,외국어,,실용외국어(유아/초?중?고),220,130,,N,N,6509,개원,20060616,,99991231,20060616,20231113
학원,14152,네오과학학원,서울특별시 서초구 명달로 51,", 5층 (방배동)",입시.검정 및 보습,보통교과,,보습,24,90,,N,N,6707,개원,20060707,,99991231,20060707,20231018
학원,14153,기파랑문해원서초학원,서울특별시 서초구 고무래로 6-3,", 301호 (반포동,삼공빌딩)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,30,82,,N,N,137803,개원,20060704,,99991231,20060704,20231126
교습소,14303,해바라기미술교습소,서울특별시 서초구 잠원로4길 54,", 2층 215호 (잠원동, 매일종합상가)",예능(대),예능(중),주4회,미술,25,5,,N,N,6522,개원,20060710,,99991231,20060710,20231018
학원,14557,은빛보습학원,서울특별시 서초구 동산로 62,부광빌딩 2층 일부 (양재동),입시.검정 및 보습,보통교과,,보습,46,255,,N,N,137898,개원,20060818,,99991231,20060818,20231018
학원,14723,웅지학당시즌투학원,서울특별시 서초구 방배로33길 29,", 2층 1-2호 (방배동)",입시.검정 및 보습,보통교과,,보습,180,255,,Y,N,137832,개원,20060830,,99991231,20131030,20231018
학원,14903,지이에스성인고시학원,서울특별시 서초구 남부순환로333길 36,해원빌딩 2층 3층일부 (서초동),인문사회(대),인문사회(중),,성인고시,85,204,,N,N,137865,개원,20060929,,99991231,20060929,20231018
교습소,14920,채림미술교습소,서울특별시 서초구 사임당로 151,", 215호 (서초동, 무지개쇼핑센터)",예능(대),예능(중),초급1회,미술,36,9,"초급1회:80000, 초급2회:140000, 중급1회:100000, 중급2회:160000, 1회*4시간:150000, 2회*4시간:300000",N,N,6624,개원,20060927,,99991231,20060927,20231018
학원,15033,케이디에스부동산학원,서울특별시 서초구 서초중앙로20길 35,", 2층 (서초동,세영빌딩)",직업기술,경영?사무관리,"부동산,",부동산,20,180,,N,N,137881,개원,20061017,20210824,20210830,20061017,20231018
학원,15059,이엠피뮤직슐레음악학원,서울특별시 서초구 고무래로8길 7,", 미성빌딩 2층 (반포동)",기예(대),기예(중),"실용음악(성악),",실용음악(성악),44,32,,N,N,137803,개원,20061018,,99991231,20061018,20231018
학원,15060,서초탑클래스학원,서울특별시 서초구 명달로9길 6,3층 일부 (방배동),입시.검정 및 보습,보통교과,,보습?논술,5,90,,Y,N,137850,개원,20061020,,99991231,20061020,20231018
학원,15187,에스비에스(SBS)아카데미컴퓨터아트학원,서울특별시 서초구 서초대로77길 3,", 502~511호,1207호 (서초동,아라타워)",종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",,4040,233,,Y,N,137856,개원,20061107,,99991231,20061107,20240225
교습소,15378,석사음악원피아노교습소,서울특별시 서초구 바우뫼로 91,에이상가 4층 404호 (양재동),예능(대),예능(중),피아노초급,음악,12,4,,N,N,137892,개원,20061122,,99991231,20061122,20231018
교습소,15576,리딩키즈리딩클럽영어전문교습소,서울특별시 서초구 바우뫼로 89,외24필지 3층3호(양재동),입시.검정 및 보습,보통교과,초등영어,보습,12,6,"초등영어:240000, 중등영어:300000",N,N,137793,개원,20061211,,99991231,20061211,20231018
학원,15636,제이앤피영어전문학원,서울특별시 서초구 잠원로 204,", 4층 404호~406호 (잠원동)",입시.검정 및 보습,보통교과,보습,보습,20,112,,N,N,137906,개원,20061215,,99991231,20061215,20240225
학원,15777,진체크패스영어보습학원,서울특별시 서초구 방배로 196?,외1필지 2층 일부 204호 204-2호(방배동),입시.검정 및 보습,보통교과,"보습,",보습,40,324,,Y,N,137835,개원,20061228,,99991231,20061228,20231018
학원,15923,엘리트리에스비어학원,서울특별시 서초구 서초중앙로 176,1~4층(서초동),국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),56,399,,Y,N,6600,개원,20070110,,99991231,20070110,20240225
